Source.Name,Country,County,Basin,GOM,DrillFor,Location,State/Province,Trajectory,Year,Month,US_PublishDate,Rig Count Value
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2026,1,2026-01-23,11
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2026,1,2026-01-30,11
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2026,2,2026-02-06,6
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2026,2,2026-02-06,11
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2026,2,2026-02-13,11
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2026,2,2026-02-20,6
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2026,2,2026-02-20,12
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,8,2024-08-02,6
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,8,2024-08-16,6
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,8,2024-08-23,6
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,9,2024-09-06,7
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,9,2024-09-13,8
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,9,2024-09-20,6
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,9,2024-09-27,6
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,11,2024-11-01,4
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,11,2024-11-08,4
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,11,2024-11-15,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,7,2024-07-26,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,8,2024-08-02,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,8,2024-08-09,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,8,2024-08-16,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,8,2024-08-23,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,8,2024-08-30,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,9,2024-09-06,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,9,2024-09-13,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,9,2024-09-20,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,9,2024-09-27,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,10,2024-10-04,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,10,2024-10-11,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,10,2024-10-18,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,10,2024-10-25,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,11,2024-11-01,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,11,2024-11-08,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,11,2024-11-15,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,11,2024-11-22,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,11,2024-11-27,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,12,2024-12-06,9
